nhl_id,name,team,positions,match_method
8483490,"Pavel Mintyukov",ANA,D,exact
8478401,"Pavel Zacha",BOS,C|LW,exact
8481522,"Peyton Krebs",BUF,C|LW,exact
8481598,"Philip Broberg",STL,D,exact
8480798,"Philipp Kurashev",SJ,RW,exact
8476479,"Phillip Danault",MTL,C,exact
8479400,"Pierre-Luc Dubois",WSH,C|LW,exact
8485406,"Porter Martone",PHI,RW,exact
8480800,"Quinn Hughes",MIN,D,exact
8482124,"Quinton Byfield",LA,C,exact
8475462,"Radko Gudas",FLA,D,exact
8478397,"Rasmus Andersson",VGK,D,exact
8480839,"Rasmus Dahlin",BUF,D,exact
8477499,"Rasmus Ristolainen",PHI,D,exact
8475191,"Reilly Smith",VGK,LW|RW,exact
8476483,"Rickard Rakell",PIT,C|LW|RW,exact
8482092,"Ridly Greig",OTT,C|LW|RW,exact
8480023,"Robert Thomas",STL,C,exact
8474600,"Roman Josi",NSH,D,exact
8484390,"Roman Kantserov",CHI,RW,exact
8478449,"Roope Hintz",DAL,C,exact
8479525,"Ross Colton",NSH,C|LW,exact
8477987,"Ryan Donato",CHI,C|LW|RW,exact
8477451,"Ryan Hartman",MIN,C|RW,exact
8484186,"Ryan Leonard",WSH,RW,exact
8474151,"Ryan McDonagh",TB,D,exact
8480802,"Ryan McLeod",BUF,C,exact
8476454,"Ryan Nugent-Hopkins",EDM,C|LW,exact
8475158,"Ryan O'Reilly",NSH,C,exact
8480068,"Ryan Poehling",ANA,C,exact
8477506,"Ryan Pulock",NYI,D,exact
8476458,"Ryan Strome",CGY,C,exact
8477935,"Sam Bennett",FLA,C,exact
8484258,"Sam Malinski",COL,D,exact
8477933,"Sam Reinhart",FLA,RW,exact
8483506,"Sam Rinzel",CHI,D,exact
8479351,"Sam Steel",DAL,C|LW,exact
8476872,"Scott Laughton",LA,C|LW,exact
8476461,"Sean Couturier",PHI,C,exact
8480434,"Sean Durzi",NYR,D,exact
8477497,"Sean Monahan",CBJ,C,exact
8480336,"Sean Walker",CAR,D,exact
8478427,"Sebastian Aho",CAR,C,team_tiebreak
8482093,"Seth Jarvis",CAR,LW|RW,exact
8477495,"Seth Jones",FLA,D,exact
8481596,"Shane Pinto",OTT,C,exact
8483524,"Shane Wright",SEA,C|RW,exact
8476906,"Shayne Gostisbehere",CAR,D,exact
8477447,"Shea Theodore",VGK,D,exact
8471675,"Sidney Crosby",PIT,C,exact
8482762,"Simon Edvinsson",DET,D,exact
8481601,"Simon Holmstrom",NYI,LW|RW,exact
8483495,"Simon Nemec",CGY,D,exact
8474564,"Steven Stamkos",NSH,C|RW,exact
8479420,"Tage Thompson",BUF,C|RW,exact
8475791,"Taylor Hall",CAR,LW,exact
8476927,"Teddy Blueger",TOR,C,exact
8476882,"Teuvo Teravainen",CHI,LW|RW,exact
8478469,"Thomas Chabot",OTT,D,exact
8481581,"Thomas Harley",DAL,D,exact
8478438,"Thomas Novak",PIT,C|LW,exact
8482116,"Tim Stutzle",OTT,C|LW,exact
8478414,"Timo Meier",NJ,LW|RW,exact
8480043,"Timothy Liljegren",WSH,D,exact
8476880,"Tom Wilson",WSH,RW,exact
8476881,"Tomas Hertl",VGK,C|LW,exact
8477950,"Tony DeAngelo",NYI,D,exact
8478439,"Travis Konecny",PHI,LW|RW,exact
8477948,"Travis Sanheim",PHI,D,exact
8479365,"Trent Frederic",EDM,C|LW|RW,exact
